web_name,team,position,cluster,xG_per90,xA_per90,ict_index,creativity,threat,influence
Mainoo,Man Utd,MID,1,0.02,0.06,50.9,254.4,55.0,199.0
Perri,Leeds,GKP,1,0.0,0.0,32.2,0.0,0.0,322.4
Hermansen,West Ham,GKP,1,0.0,0.0,24.5,0.0,0.0,245.0
Geertruida,Sunderland,DEF,1,0.03,0.05,39.0,110.0,63.0,216.8
Kevin,Fulham,MID,1,0.11,0.14,63.6,231.6,206.0,200.8
Bradley,Liverpool,DEF,1,0.02,0.08,32.3,105.2,62.0,157.4
Guessand,Crystal Palace,MID,1,0.16,0.08,39.1,72.9,167.0,154.8
Kolo Muani,Spurs,FWD,1,0.12,0.1,51.5,197.5,200.0,124.4
Groß,Brighton,MID,1,0.08,0.21,66.6,336.4,109.0,221.0
Maatsen,Aston Villa,DEF,1,0.08,0.13,74.5,299.0,186.0,258.2
Kluivert,Bournemouth,MID,1,0.22,0.15,57.8,304.1,128.0,146.6
Baleba,Brighton,MID,1,0.04,0.02,22.1,92.8,29.0,99.4
Marmoush,Man City,MID,1,0.35,0.11,50.2,146.4,227.0,132.2
Elanga,Newcastle,MID,1,0.11,0.13,54.3,256.5,161.0,125.2
Humphreys,Burnley,DEF,1,0.03,0.05,43.3,96.8,61.0,277.2
Hughes,Crystal Palace,MID,1,0.08,0.12,53.5,285.8,86.0,162.2
Robinson,Fulham,DEF,1,0.02,0.12,50.1,249.5,34.0,217.2
J.Cuenca,Fulham,DEF,1,0.0,0.05,30.7,47.1,14.0,244.6
Martinez,Man Utd,DEF,1,0.01,0.05,31.0,78.3,10.0,220.2
Bergvall,Spurs,MID,1,0.11,0.04,35.3,81.4,133.0,137.4
Broja,Burnley,FWD,1,0.24,0.01,36.0,62.4,205.0,96.4
Savona,Nott'm Forest,DEF,1,0.12,0.04,43.5,123.2,94.0,216.6
S.Magassa,West Ham,MID,1,0.04,0.03,30.6,82.8,44.0,179.6
Smith,Bournemouth,DEF,1,0.0,0.02,19.1,58.0,18.0,115.4
